Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_op;crit_1_tech;crit_2_op;crit_2_tech;crit_3_tech;crit_3_op;lca_tech;lca_op;Comment
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;158.54;4.756999719;21.09;17;1;0;1;0;1.00E+15;1;1;0.5;4.94822062;9.89644124;1;29.68932372;0.207852956;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;142.38;8.54012548;21.09;17;1;0;1;0;1.00E+15;1;1;0.5;4.94822062;9.89644124;1;29.68932372;0.287243009;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;462.44;16.18129038;21.09;17;1;0;1;0;1.00E+15;1;1;0.5;38.6874352;77.3748704;1;232.1246112;0.441914625;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1408.03;90.50685713;1024.32;20;1;0;1;0;1.00E+15;1;1;0.5;88.53615115;177.0723023;1;531.2169069;0.396867933;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1305.56;80.10177153;1024.32;20;1;0;1;0;1.00E+15;1;1;0.5;88.53615115;177.0723023;1;531.2169069;0.600083757;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;39.98;0.174742151;1.47;15;1;0;1;0;1.00E+15;1;1;0.5;0.169190574;0.338381148;1;1.015143443;0;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;492.04;20.5154739;164.89;18;1;0;1;0;1.00E+15;1;1;0.5;20.49836429;40.99672857;1;122.9901857;0.017639307;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;719.07;7.978275119;221.22;20;1;0;1;0;1.00E+15;1;1;0.5;297.8006374;595.6012747;1;1786.803824;0;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;315.68;9.226487594;381.93;20;1;0;1;0;1.00E+15;1;1;0.5;49.52061985;99.0412397;1;297.1237191;0.12558201;
Infrastructure;Infrastructure;Distric heating network;DHN;825.88;0;0;60;1;0;1;0;1.00E+15;1;1;0.5;0;0;1;0;0;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;58.89;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;1;1;0.5;1.472533938;2.945067875;1;8.835203624;0.203012203;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;54.86;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;1;1;0.5;1.472533938;2.945067875;1;8.835203624;0.281197252;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;1;1;0.5;9.680459325;19.36091865;1;58.08275594;0.434760501;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN);DHN_COGEN_BIO_HYDROLYSIS;4536.9;221.6894187;647.8;15;0.85;0;1;0;1.00E+15;1;1;0.5;46.96612802;93.93225603;1;281.7967681;2.858064985;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1254.49;36.67861308;490.88;25;0.85;0;1;0;1.00E+15;1;1;0.5;26.5737456;53.1474912;1;159.4424736;0.396867933;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;2927.87;107.936516;647.82;25;0.85;0;1;0;1.00E+15;1;1;0.5;109.5605562;219.1211123;1;657.3633368;1.377513734;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN);DHN_COGEN_WET_BIOMASS;1374.44;111.8582437;1024;25;0.75;0;1;0;1.00E+15;1;1;0.5;666.3232515;1332.646503;1;3997.939509;2.228582162;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1080.79;39.57043986;165.33;25;0.85;0;1;0;1.00E+15;1;1;0.5;14.92556147;29.85112293;1;89.55336879;0.650702609;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;1500;56.20117647;808.76;30;0.85;0;1;0;0;1;1;0.5;102.4078293;204.8156586;1;614.4469758;2.10E-05;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;344.76;11.69053473;174.79;25;0.95;0;1;0;1.00E+15;1;1;0.5;20.49836429;40.99672857;1;122.9901857;0.013242879;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;362;0.426986111;221.22;30;1;0;1;0;1.00E+15;1;1;0.5;297.8006374;595.6012747;1;1786.803824;0;
Storage;Other storage;Diesel storage;DIESEL_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.004569924;0.009139848;1;0.027419544;0;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;5600;0;0;1;1;0;1;0;1.00E+15;1;1;0.5;0;0;1;0;0;
Storage;Other storage;Gas storage;GAS_STORAGE;0.05;0.001309164;0;50;1;0;1;0;1.00E+15;1;1;0.5;4.693127962;9.386255923;1;28.15876777;0;
Synthetic fuels;Synthetic fuels;Gas to HVC;GAS_TO_HVC;797.6;19.93997837;0;20;1;0;1;0;1.00E+15;1;1;0.5;140.7552191;281.5104382;1;844.5313145;0.298730165;
Synthetic fuels;Synthetic fuels;Wood gasification;GASIFICATION_SNG;2525;178;0;25;0.85;0;1;0;1.00E+15;1;1;0.5;15.08566489;30.17132977;1;90.51398932;0.400427839;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.004728119;0.009456237;1;0.028368712;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;7488;139.1104;24929.09;30;0.95;0;1;0;0;1;1;0.5;1115.333794;2230.667587;1;6692.00276;5.84E-06;
Infrastructure;Infrastructure;Electrical grid cost;GRID;74919.06;0;0;80;1;0;1;0;1.00E+15;1;1;0.5;232.944593;465.889186;1;1397.667558;0;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;2525.39;177.9107679;0;25;0.86;0;1;0;1.00E+15;1;1;0.5;15.08566489;30.17132977;1;90.51398932;0.000316582;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;696.2;19.14556962;0;15;0.9;0;1;0;1.00E+15;1;1;0.5;25.50000424;51.00000847;1;153.0000254;0.000105859;
Storage;Other storage;Hydrogen storage;H2_STORAGE;6.19;0.39;0;20;1;0;1;0;1.00E+15;1;1;0.5;1.844583799;3.689167597;1;11.06750279;0;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;847;16.56;0;20;1;0;1;0;1.00E+15;1;1;0.5;352.1350042;704.2700083;1;2112.810025;0.001162741;
Electricity;Electricity;Hydro river;HYDRO_RIVER;5044.92;50.4447982;1262.82;40;1;0;1;0;0.115;1;1;0.5;176.8856122;353.7712243;1;1061.313673;2.07E-05;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;115.18;2.303586478;48.18;17;0.9;0;1;0;1.00E+15;1;1;0.5;14.24696158;28.49392315;1;85.48176945;0.406117798;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;58.89;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;1;1;0.5;1.472533938;2.945067875;1;8.835203624;0.203012203;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;54.86;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;1;1;0.5;1.472533938;2.945067875;1;8.835203624;0.281197252;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;1;1;0.5;10.93337149;21.86674297;1;65.60022892;0.336013458;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;1;1;0.5;10.37321773;20.74643546;1;62.23930637;0.434760501;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1408.03;90.50685713;1024.32;25;0.85;0;1;0;1.00E+15;1;1;0.5;57.2157264;114.4314528;1;343.2943583;0.396867933;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2927.87;107.936516;647.82;25;0.85;0;1;0;1.00E+15;1;1;0.5;109.5605562;219.1211123;1;657.3633368;1.377513734;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1080.79;39.57043986;165.33;25;0.85;0;1;0;1.00E+15;1;1;0.5;27.67105892;55.34211783;1;166.0263535;0.591807093;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;332.34;1.507631801;1.47;15;0.95;0;1;0;1.00E+15;1;1;0.5;0.169190574;0.338381148;1;1.015143443;0;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2580;64.044;0;40;1;0;1;0;1.00E+15;1;1;0.5;0;0;1;0;0.184840515;
Storage;Other storage;LFO storage;LFO_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.003713143;0.007426285;1;0.022278854;0;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;958.58;41.91520353;0;25;0.85;0;1;0;1.00E+15;1;1;0.5;11.11753693;22.23507385;1;66.70522155;0.004131816;
Storage;Other storage;Methanol storage;METHANOL_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;1;1;0.5;337.0717107;674.1434213;1;2022.430264;0;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;697.2;62.748;0;20;1;0;1;0;1.00E+15;1;1;0.5;140.7552191;281.5104382;1;844.5313145;0;
Electricity;Electricity;Nuclear;NUCLEAR;4845.73;102.930986;707.88;60;0.849;0;1;0;0;1;1;0.5;44.09261287;88.18522573;1;264.5556772;0.000932935;
Synthetic fuels;Synthetic fuels;Oil to HVC;OIL_TO_HVC;395;2.1;0;20;1;0;1;0;1.00E+15;1;1;0.5;140.7552191;281.5104382;1;844.5313145;0.212727264;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;1;1;0.5;13.48726809;26.97453617;1;80.92360851;0;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0;8.33;50;1;0;1;5;6.5;1;1;0.5;910.2924625;1820.584925;1;5461.754775;0;
Electricity;Electricity;Photovoltaic;PV;870;9.935466867;2081.43;25;1;0;1;0;59.2;1;1;0.5;92.5576702;185.1153404;1;555.3460213;0;
Synthetic fuels;Synthetic fuels;Wood pyrolisis for diesel alone;REDIFUEL;6813.35;182.22;1100.251804;20;1;0;1;0;1.00E+15;1;1;0.5;183.3753007;366.7506013;1;1100.251804;0.935613902;
Synthetic fuels;Synthetic fuels;Steam methane reforming;SMR;681.24;62.8658412;0;25;0.86;0;1;0;1.00E+15;1;1;0.5;0;0;1;0;0.257628843;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;262.2;66.99276316;0;40;1;0;1;0;1.00E+15;1;1;0.5;14.49665131;28.99330262;1;86.97990787;4.69E-05;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;1679.65;47.66486711;0;20;0.95;0;1;0;1.00E+15;1;1;0.5;337.0717107;674.1434213;1;2022.430264;0.006153952;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104.42;2.088311688;0;40;0.34247;0;1;0;1.00E+15;1;1;0.5;27.33798624;54.67597247;1;164.0279174;0.002276507;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1506.02;54.35274934;0;40;0.27507;0;0.5;0;1.00E+15;1;1;0.5;8.731435325;17.46287065;1;52.38861194;0.00011674;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625;12.5;0;30;0.34247;0;0.3;0;1.00E+15;1;1;0.5;4.482518319;8.965036637;1;26.89510991;0;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;371.11;18.55555556;0;15;0.09259;0;1;0;1.00E+15;1;1;0.5;24.81294232;49.62588463;1;148.8776539;0.142539434;
Mobility;Freight;Truck electric;TRUCK_ELEC;433.94;23.13333333;0;15;0.09259;0;1;0;1.00E+15;1;1;0.5;36.17823805;72.3564761;1;217.0694283;0.00034165;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;490.91;12.06666667;0;15;0.09259;0;1;0;1.00E+15;1;1;0.5;38.8412042;77.6824084;1;233.0472252;0.00034165;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;371.11;18.55555556;0;15;0.09259;0;1;0;1.00E+15;1;1;0.5;24.21349534;48.42699067;1;145.280972;0.163802654;
Mobility;Freight;Truck gas;TRUCK_NG;371.11;18.55555556;0;15;0.09259;0;1;0;1.00E+15;1;1;0.5;24.60195695;49.2039139;1;147.6117417;0.153662255;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;3;0.0086;0;40;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0.54;0.002958333;0;25;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;28.03;0.3;0;25;1;0;1;0;1.00E+15;1;1;0.5;0.962053441;1.924106881;1;5.772320643;0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4974.63;34.611;622.85;30;1;0;1;0;6;1;1;0.5;98.5527172;197.1054344;1;591.3163032;0.000157689;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1040;12.096;622.85;30;1;0;1;0;10;1;1;0.5;66.80429;133.60858;1;400.82574;0.000109073;
