Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment;;;;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
Mobility;Freight;Train (freight); GAS_TO_HVC ;757.79;18.94463835;0;25;1;0;1;0;1.00E+15;;GAS_TO_HVC;; GAS_TO_HVC ;757.79;18.94463835;0;25;1;0;1;0;1.00E+15;
Mobility;Freight;Boat diesel; GASIFICATION_SNG ;2444.84;172.3492063;0;25;0.85;0;1;0;1.00E+15;;GASIFICATION_SNG;; GASIFICATION_SNG ;2444.84;172.3492063;0;25;0.85;0;1;0;1.00E+15;
Mobility;Freight;Boat gas; GASOLINE_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;;GASOLINE_STORAGE;; GASOLINE_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;
Mobility;Freight;Boat methanol; GEOTHERMAL ;7147.64;132.7872;24929.09;30;0.95;0;1;0;0;;GEOTHERMAL;; GEOTHERMAL ;7147.64;132.7872;24929.09;30;0.95;0;1;0;0;
Mobility;Freight;Trucks diesel; GRID  ;74919.06;0;0;80;1;0;1;0;1.00E+15;;GRID;; GRID  ;74919.06;0;0;80;1;0;1;0;1.00E+15;
Mobility;Freight;Truck methanol; H2_BIOMASS ;2020.31;142.3286144;0;25;0.86;0;1;0;1.00E+15;;H2_BIOMASS;; H2_BIOMASS ;2020.31;142.3286144;0;25;0.86;0;1;0;1.00E+15;
Mobility;Freight;Truck fuel cell (hydrogen); H2_ELECTROLYSIS ;569.62;15.66455696;0;15;0.9;0;1;0;1.00E+15;;H2_ELECTROLYSIS;; H2_ELECTROLYSIS ;569.62;15.66455696;0;15;0.9;0;1;0;1.00E+15;
Mobility;Freight;Truck electric; H2_STORAGE ;6.19;0.39;0;20;1;0;1;0;1.00E+15;;H2_STORAGE;; H2_STORAGE ;6.19;0.39;0;20;1;0;1;0;1.00E+15;
Mobility;Freight;Truck gas; HABER_BOSCH ;804.72;15.7333777;0;20;1;0;1;0;1.00E+15;;HABER_BOSCH;; HABER_BOSCH ;804.72;15.7333777;0;20;1;0;1;0;1.00E+15;
Infrastructure;Infrastructure;Efficiency mesures in energy system; HYDRO_RIVER ;5044.92;50.4447982;1262.82;40;1;0;1;0;0.115;;HYDRO_RIVER;; HYDRO_RIVER ;5044.92;50.4447982;1262.82;40;1;0;1;0;0.115;
Infrastructure;Infrastructure;Distric heating network; IND_BOILER_COAL ;115.18;2.303586478;48.18;17;0.9;0;1;0;1.00E+15;;IND_BOILER_COAL;; IND_BOILER_COAL ;115.18;2.303586478;48.18;17;0.9;0;1;0;1.00E+15;
Infrastructure;Infrastructure;Electrical grid cost; IND_BOILER_GAS ;58.89;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;;IND_BOILER_GAS;; IND_BOILER_GAS ;58.89;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Electrolysers; IND_BOILER_OIL ;54.86;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;H2;IND_BOILER_OIL;; IND_BOILER_OIL ;54.86;1.179885757;12.32;17;0.95;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Steam methane reforming; IND_BOILER_WASTE ;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;H2;IND_BOILER_WASTE;; IND_BOILER_WASTE ;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen; IND_BOILER_WOOD ;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;H2;IND_BOILER_WOOD;; IND_BOILER_WOOD ;115.18;2.303586478;28.87;17;0.9;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Wood gasification; IND_COGEN_GAS ;1342.54;86.29723587;1024.32;25;0.85;0;1;0;1.00E+15;SNG;IND_COGEN_GAS;; IND_COGEN_GAS ;1342.54;86.29723587;1024.32;25;0.85;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Hydrogen methanation; IND_COGEN_WASTE ;2744.24;101.1669784;647.82;25;0.85;0;1;0;1.00E+15;SNG;IND_COGEN_WASTE;; IND_COGEN_WASTE ;2744.24;101.1669784;647.82;25;0.85;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Biomass methanation; IND_COGEN_WOOD ;1030.52;37.72995429;165.33;25;0.85;0;1;0;1.00E+15;SNG;IND_COGEN_WOOD;; IND_COGEN_WOOD ;1030.52;37.72995429;165.33;25;0.85;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis; IND_DIRECT_ELEC ;332.34;1.507631801;1.47;15;0.95;0;1;0;1.00E+15;SNG;IND_DIRECT_ELEC;; IND_DIRECT_ELEC ;332.34;1.507631801;1.47;15;0.95;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline and diesel; INDUSTRY_CCS ;2519.09;62.532;0;40;1;0;1;0;1.00E+15;OIL;INDUSTRY_CCS;; INDUSTRY_CCS ;2519.09;62.532;0;40;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to LFO; LFO_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;;LFO_STORAGE;; LFO_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric; METHANE_TO_METHANOL ;683.66;29.89393908;0;25;0.85;0;1;0;1.00E+15;CO2;METHANE_TO_METHANOL;; METHANE_TO_METHANOL ;683.66;29.89393908;0;25;0.85;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Carbon capture from industry; METHANOL_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;CO2;METHANOL_STORAGE;; METHANOL_STORAGE ;0.01;0.000397;0;20;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation; METHANOL_TO_HVC ;662.4;59.6158203;0;20;1;0;1;0;1.00E+15;METHANOL;METHANOL_TO_HVC;; METHANOL_TO_HVC ;662.4;59.6158203;0;20;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Methane to methanol; NUCLEAR ;4845.73;102.930986;707.88;60;0.849;0;1;0;0;METHANOL;NUCLEAR;; NUCLEAR ;4845.73;102.930986;707.88;60;0.849;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass methanolation; OIL_TO_HVC ;375.28;1.995174709;0;15;1;0;1;0;1.00E+15;METHANOL;OIL_TO_HVC;; OIL_TO_HVC ;375.28;1.995174709;0;15;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia); PHEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;AMMONIA;PHEV_BATT;; PHEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Amonia to H2; PHS ;58.8;0;8.33;50;1;0;1;5;6.5;AMMONIA;PHS;; PHS ;58.8;0;8.33;50;1;0;1;5;6.5;
Synthetic fuels;Synthetic fuels;Oil to HVC; PV ;715.97;8.176400602;2081.43;25;1;0;1;0;59.2;HVC;PV;; PV ;715.97;8.176400602;2081.43;25;1;0;1;0;59.2;
Synthetic fuels;Synthetic fuels;Gas to HVC; PYROLYSIS_TO_FUELS ;1092;30.4;0;25;0.85;0;1;0;1.00E+15;HVC;SMR;; SMR ;647.24;59.72777924;0;25;0.86;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Biomass to HVC; PYROLYSIS_TO_LFO ;1075.37;48.87757621;0;25;0.85;0;1;0;1.00E+15;HVC;SYN_METHANATION;; SYN_METHANATION ;202.65;51.77828947;0;40;1;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Methanol to HVC; SMR ;647.24;59.72777924;0;25;0.86;0;1;0;1.00E+15;HVC;SYN_METHANOLATION;; SYN_METHANOLATION ;1197.93;33.99460133;0;20;0.95;0;1;0;1.00E+15;
Storage;Electricity storage;Batteries; SYN_METHANATION ;202.65;51.77828947;0;40;1;0;1;0;1.00E+15;;TRAIN_FREIGHT;; TRAIN_FREIGHT ;104.42;2.088311688;0;40;0.342465753;0;1;0;1.00E+15;
Storage;Electricity storage;Batteries of electric cars; SYN_METHANOLATION ;1197.93;33.99460133;0;20;0.95;0;1;0;1.00E+15;;TRAIN_PUB;; TRAIN_PUB ;1506.02;54.35274934;0;40;0.275072894;0;0.5;0;1.00E+15;
Storage;Electricity storage;Batteries of plug-in hybrid cars; TRAIN_FREIGHT ;104.42;2.088311688;0;40;0.342465753;0;1;0;1.00E+15;;TRAMWAY_TROLLEY;; TRAMWAY_TROLLEY ;625;12.5;0;30;0.342465753;0;0.3;0;1.00E+15;
Storage;Electricity storage;Pumped hydro storage; TRAIN_PUB ;1506.02;54.35274934;0;40;0.275072894;0;0.5;0;1.00E+15;;TRUCK_DIESEL;; TRUCK_DIESEL ;379.01;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised direct elec; TRAMWAY_TROLLEY ;625;12.5;0;30;0.342465753;0;0.3;0;1.00E+15;;TRUCK_ELEC;; TRUCK_ELEC ;748.86;23.13333333;0;15;0.092592593;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised electrical heat pumps; TRUCK_DIESEL ;379.01;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;;TRUCK_FUEL_CELL;; TRUCK_FUEL_CELL ;399.34;12.06666667;0;15;0.092592593;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised thermal heat pumps gas; TRUCK_ELEC ;748.86;23.13333333;0;15;0.092592593;0;1;0;1.00E+15;;TRUCK_METHANOL;; TRUCK_METHANOL ;379.01;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised cogeneration gas; TRUCK_FUEL_CELL ;399.34;12.06666667;0;15;0.092592593;0;1;0;1.00E+15;;TRUCK_NG;; TRUCK_NG ;377.52;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised cogenration oil; TRUCK_METHANOL ;379.01;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;;TS_DEC_ADVCOGEN_GAS;; TS_DEC_ADVCOGEN_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas; TRUCK_NG ;377.52;18.55555556;0;15;0.092592593;0;1;0;1.00E+15;;TS_DEC_ADVCOGEN_H2;; TS_DEC_ADVCOGEN_H2  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised fuel cell cogenration H2; TS_DEC_ADVCOGEN_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_BOILER_GAS;; TS_DEC_BOILER_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised boiler gas; TS_DEC_ADVCOGEN_H2  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_BOILER_OIL;; TS_DEC_BOILER_OIL  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised boiler wood; TS_DEC_BOILER_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_BOILER_WOOD;; TS_DEC_BOILER_WOOD  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Decentralised boiler oil; TS_DEC_BOILER_OIL  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_COGEN_GAS;; TS_DEC_COGEN_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Centralised daily; TS_DEC_BOILER_WOOD  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_COGEN_OIL;; TS_DEC_COGEN_OIL  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Centralised seasonal; TS_DEC_COGEN_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_DIRECT_ELEC;; TS_DEC_DIRECT_ELEC  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Thermal storage;Thermal storage industries; TS_DEC_COGEN_OIL  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_HP_ELEC;; TS_DEC_HP_ELEC  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Other storage;Gas storage; TS_DEC_DIRECT_ELEC  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DEC_THHP_GAS;; TS_DEC_THHP_GAS  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;
Storage;Other storage;Hydrogen storage; TS_DEC_HP_ELEC  ;18.97;0.132802697;0;20;1;0;1;0;1.00E+15;;TS_DHN_DAILY;; TS_DHN_DAILY ;3;0.0086;0;40;1;0;1;0;1.00E+15;
