TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
TS_DEC_DIRECT_ELEC	0.003053	0.000021	20.000000	0.000000	0.000161	Infinity	0.000000	-1.000000	1.000000	0.000041	1.000000	0.058246	
TS_DEC_HP_ELEC	14.688419	0.102829	20.000000	0.000000	0.774297	Infinity	0.000000	-1.000000	1.000000	0.045729	1.000000	0.058246	
TS_DEC_THHP_GAS	0.003053	0.000021	20.000000	0.000000	0.000161	Infinity	0.000000	-1.000000	1.000000	0.000041	1.000000	0.058246	
TS_DEC_COGEN_GAS	19.462424	0.136250	20.000000	0.000000	1.025958	Infinity	0.000000	-1.000000	1.000000	0.035223	1.000000	0.058246	
TS_DEC_COGEN_OIL	0.003053	0.000021	20.000000	0.000000	0.000161	Infinity	0.000000	-1.000000	1.000000	0.000041	1.000000	0.058246	
TS_DEC_ADVCOGEN_GAS	0.003053	0.000021	20.000000	0.000000	0.000161	Infinity	0.000000	-1.000000	1.000000	0.000041	1.000000	0.058246	
TS_DEC_ADVCOGEN_H2	0.003053	0.000021	20.000000	0.000000	0.000161	Infinity	0.000000	-1.000000	1.000000	0.000041	1.000000	0.058246	
TS_DEC_BOILER_GAS	292.426137	2.047179	20.000000	0.000000	15.415189	Infinity	0.000000	-1.000000	1.000000	0.041394	1.000000	0.058246	
TS_DEC_BOILER_WOOD	85.374879	0.597681	20.000000	0.000000	4.500521	Infinity	0.000000	-1.000000	1.000000	0.040345	1.000000	0.058246	
TS_DEC_BOILER_OIL	391.083084	2.737843	20.000000	0.000000	20.615872	Infinity	0.000000	-1.000000	1.000000	0.041387	1.000000	0.058246	
TS_DHN_DAILY	0.005653	0.000016	40.000000	0.000000	0.001884	Infinity	0.000000	-1.000000	1.000000	0.000207	1.000000	0.033427	
