param layers_in_out:;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_FREIGHT_BOAT;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO;CO2_ATM;CO2_INDUSTRY;CO2_CAPTURED
DHN_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.735852;0
DHN_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.22884666;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.577772;0
DHN_COGEN_WET_BIOMASS;0.82644628;0;0;0;0;0;-6.399248535;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.48826446;0
DHN_COGEN_BIO_HYDROLYSIS;0.75820896;0;0;0;0;0;-2.994003065;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.1641791;0
DHN_BOILER_GAS;0;0;0;0;-1.088771429;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.2157;0
DHN_BOILER_WOOD;0;0;0;0;0;-1.167817143;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.451152;0
DHN_BOILER_OIL;0;0;0;-1.052632;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.297986;0
DHN_DEEP_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-1;0;0;0
DHN_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;0;0;0;0;0
DEC_HP_ELEC;-0.358760417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
