{PERIODS};Electricity (%_elec);Space Heating (%_sh);SPACE_COOLING;Passanger mobility (%_pass);Freight mobility (%_freight);PV;PV_UTILITY;Wind_onshore;Wind_offshore;HYDRO_DAM;Hydro_river;TIDAL;Solar;PT_COLLECTOR;ST_COLLECTOR
85;0.000119956;0.00017315;0;0.000187974;0.000114155;0.55;0.55;0.2074;0.2335;0;0;0.183889094;0.52089514;0;0
86;0.0001205;0.00017712;0;0.000190324;0.000114155;0.49;0.49;0.1972;0.2166;0;0;0.75863075;0.431964;0;0
87;0.000120827;0.00019998;0;0.000213821;0.000114155;0.3;0.3;0.1969;0.204;0;0;0.976548341;0.27016971;0;0
88;0.000120846;0.00024034;0;0.00022322;0.000114155;0.01;0.01;0.2004;0.2024;0;0;0.60152521;0;0;0
89;0.000120718;0.00025566;0;0.00022322;0.000114155;0;0;0.1906;0.1893;0;0;0.174895016;0;0;0
90;0.000123761;0.00026423;0;0.000164478;0.000114155;0;0;0.1777;0.1773;0;0;0.004098403;0;0;0
91;0.000124073;0.00027021;0;0.000117484;0.000114155;0;0;0.1844;0.1931;0;0;0.036827755;0;0;0
92;0.000123565;0.00027366;0;8.81E-05;0.000114155;0;0;0.2107;0.2414;0;0;0.337085796;0;0;0
93;0.000122259;0.00027517;0;5.87E-05;0.000114155;0;0;0.2427;0.2955;0;0;0.42923989;0;0;0
94;0.0001207;0.00027637;0;3.76E-05;0.000114155;0;0;0.263;0.3296;0;0;0.252803105;0;0;0
95;0.000118296;0.00027765;0;2.35E-05;0.000114155;0;0;0.2643;0.3328;0;0;0.074334747;0;0;0
96;0.000115383;0.0002784;0;9.40E-06;0.000114155;0;0;0.2545;0.3302;0;0;0.003121564;0;0;0
97;0.000113474;0.00027862;0;5.87E-06;0.000114155;0;0;0.2469;0.3401;0;0;0.183889094;0;0;0
98;0.000111809;0.00027888;0;2.35E-06;0.000114155;0;0;0.2376;0.3538;0;0;0.75863075;0;0;0
99;0.000110585;0.00027932;0;1.17E-06;0.000114155;0;0;0.2348;0.3664;0;0;0.976548341;0;0;0
100;0.00011036;0.00027731;0;1.41E-05;0.000114155;0;0;0.2234;0.3575;0;0;0.60152521;0;0;0
101;0.000110914;0.00027218;0;3.76E-05;0.000114155;0;0;0.2201;0.3516;0;0;0.174895016;0;0;0
102;0.000112488;0.00027023;0;9.40E-05;0.000114155;0;0;0.2204;0.353;0;0;0.004098403;0;0;0
103;0.000117879;0.00027065;0;0.0001821;0.000114155;0;0;0.2121;0.3467;0;0;0.036827755;0;0;0
104;0.000124792;0.00027244;0;0.000158603;0.000114155;0;0;0.2055;0.3392;0;0;0.337085796;0;0;0
105;0.000130967;0.00027038;0;0.000146855;0.000114155;0;0;0.2;0.3308;0;0;0.42923989;0;0;0
106;0.00013286;0.00026257;0;0.000164478;0.000114155;0.16;0.16;0.1796;0.2953;0;0;0.252803105;0.11373514;0;0
107;0.000133685;0.00025326;0;0.000187974;0.000114155;0.01;0.01;0.1795;0.2761;0;0;0.074334747;0.26977971;0;0
108;0.000134368;0.00024571;0;0.000206772;0.000114155;0.02;0.02;0.1797;0.2741;0;0;0.003121564;0;0;0
109;0.000131167;0.0002408;0;0.000187974;0.000114155;0.02;0.02;0.1708;0.2656;0;0;0.177721037;0;0;0
110;0.00013442;0.00023842;0;0.000190324;0.000114155;0.05;0.05;0.1549;0.2444;0;0;0.735350076;0;0;0
111;0.000135066;0.00023992;0;0.000213821;0.000114155;0.01;0.01;0.143;0.2292;0;0;0.946015657;0;0;0
112;0.000134666;0.00024492;0;0.00022322;0.000114155;0;0;0.1506;0.2355;0;0;0.583279692;0;0;0
113;0.000135126;0.00024704;0;0.00022322;0.000114155;0;0;0.1533;0.2372;0;0;0.169668879;0;0;0
114;0.00013589;0.00024872;0;0.000164478;0.000114155;0;0;0.1482;0.2308;0;0;0.004042516;0;0;0
115;0.000133239;0.00024986;0;0.000117484;0.000114155;0;0;0.1428;0.2294;0;0;0.034990692;0;0;0
116;0.000131035;0.00025112;0;8.81E-05;0.000114155;0;0;0.1397;0.2268;0;0;0.324918335;0;0;0
117;0.000129074;0.00025309;0;5.87E-05;0.000114155;0;0;0.1316;0.2232;0;0;0.416030284;0;0;0
118;0.000126409;0.00025482;0;3.76E-05;0.000114155;0;0;0.1262;0.223;0;0;0.246114165;0;0;0
119;0.000122824;0.00025763;0;2.35E-05;0.000114155;0;0;0.1246;0.2244;0;0;0.072948228;0;0;0
120;0.000119971;0.00026241;0;9.40E-06;0.000114155;0;0;0.1229;0.2241;0;0;0.003121564;0;0;0
121;0.000117265;0.00026744;0;5.87E-06;0.000114155;0;0;0.1251;0.2254;0;0;0.171692473;0;0;0
122;0.000115256;0.00027261;0;2.35E-06;0.000114155;0;0;0.13;0.2289;0;0;0.712550629;0;0;0
123;0.000114259;0.00027737;0;1.17E-06;0.000114155;0;0;0.1363;0.2359;0;0;0.916126122;0;0;0
124;0.000113911;0.00028281;0;1.41E-05;0.000114155;0;0;0.1361;0.2361;0;0;0.565406906;0;0;0
125;0.000114042;0.00028798;0;3.76E-05;0.000114155;0;0;0.1374;0.2363;0;0;0.164547904;0;0;0
126;0.000114969;0.0002946;0;9.40E-05;0.000114155;0;0;0.1446;0.2436;0;0;0.00398714;0;0;0
127;0.000118788;0.00029988;0;0.0001821;0.000114155;0;0;0.1546;0.2602;0;0;0.033215759;0;0;0
128;0.00012604;0.00030397;0;0.000158603;0.000114155;0;0;0.1595;0.269;0;0;0.313047252;0;0;0
129;0.000132027;0.00030054;0;0.000146855;0.000114155;0;0;0.1524;0.2662;0;0;0.403094509;0;0;0
130;0.0001335;0.00029222;0;0.000164478;0.000114155;0.2;0.2;0.1322;0.2419;0;0;0.239544266;0.10785171;0;0
131;0.000133721;0.00028087;0;0.000187974;0.000114155;0.3;0.3;0.123;0.2156;0;0;0.071579058;0.21443314;0;0
132;0.000133185;0.00026807;0;0.000206772;0.000114155;0.29;0.29;0.1282;0.2188;0;0;0.003121564;0.22891886;0;0
133;0.000133055;0.00025962;0;0.000187974;0.000114155;0.25;0.25;0.135;0.2303;0;0;0.160047441;0.20784771;0;0
134;0.000132746;0.0002568;0;0.000190324;0.000114155;0.21;0.21;0.1464;0.2516;0;0;0.668375314;0.095706;0;0
135;0.000133611;0.00026501;0;0.000213821;0.000114155;0.08;0.08;0.159;0.2963;0;0;0.858249111;0.08272457;0;0
136;0.000133533;0.00027853;0;0.00022322;0.000114155;0;0;0.2106;0.3669;0;0;0.530764141;0;0;0
137;0.00013398;0.00027475;0;0.00022322;0.000114155;0;0;0.2579;0.4278;0;0;0.15461716;0;0;0
138;0.000135705;0.00026541;0;0.000164478;0.000114155;0;0;0.2877;0.455;0;0;0.00387791;0;0;0
139;0.000132793;0.00025237;0;0.000117484;0.000114155;0;0;0.2935;0.4294;0;0;0.02984801;0;0;0
140;0.000130969;0.00023852;0;8.81E-05;0.000114155;0;0;0.2914;0.4432;0;0;0.290179605;0;0;0
141;0.000127997;0.00022721;0;5.87E-05;0.000114155;0;0;0.3021;0.4754;0;0;0.378032979;0;0;0
142;0.000124566;0.00021791;0;3.76E-05;0.000114155;0;0;0.3236;0.5275;0;0;0.22675732;0;0;0
143;0.000121347;0.00021182;0;2.35E-05;0.000114155;0;0;0.3532;0.5418;0;0;0.06889233;0;0;0
144;0.000118871;0.00021195;0;9.40E-06;0.000114155;0;0;0.3389;0.485;0;0;0.003121564;0;0;0
145;0.000108796;0.0002144;0;5.87E-06;0.000114155;0;0;0.3091;0.4258;0;0;0.148941234;0;0;0
146;0.000106884;0.00021738;0;2.35E-06;0.000114155;0;0;0.2888;0.3821;0;0;0.6260646;0;0;0
147;0.000105961;0.00022228;0;1.17E-06;0.000114155;0;0;0.2654;0.3187;0;0;0.802862539;0;0;0
148;0.000105599;0.00022955;0;1.41E-05;0.000114155;0;0;0.2152;0.2172;0;0;0.497566141;0;0;0
149;0.000105728;0.00024139;0;3.76E-05;0.000114155;0;0;0.1643;0.1467;0;0;0.145094236;0;0;0
150;0.000106957;0.00025639;0;9.40E-05;0.000114155;0;0;0.1638;0.1633;0;0;0.003770692;0;0;0
151;0.000111135;0.00026501;0;0.0001821;0.000114155;0;0;0.2232;0.274;0;0;0.026715957;0;0;0
152;0.000118198;0.00026032;0;0.000158603;0.000114155;0;0;0.2938;0.4038;0;0;0.268453621;0;0;0
153;0.00012301;0.00024697;0;0.000146855;0.000114155;0;0;0.2924;0.4535;0;0;0.354032354;0;0;0
154;0.000123952;0.00023473;0;0.000164478;0.000114155;0.31;0.31;0.2833;0.4657;0;0;0.214433715;0.30594943;0;0
155;0.000123899;0.00022616;0;0.000187974;0.000114155;0.51;0.51;0.2874;0.5457;0;0;0.066273689;0.44114571;0;0
156;0.000123569;0.00021649;0;0.000206772;0.000114155;0.58;0.58;0.3338;0.607;0;0;0.003121564;0.51794229;0;0
157;0.000122685;0.0002106;0;0.000187974;0.000114155;0.57;0.57;0.3356;0.5925;0;0;0.133264299;0.23092457;0;0
158;0.000122876;0.00021075;0;0.000190324;0.000114155;0.46;0.46;0.3385;0.5652;0;0;0.566006701;0.07590514;0;0
159;0.000123019;0.00021808;0;0.000213821;0.000114155;0.11;0.11;0.3528;0.5587;0;0;0.724332449;0.14387657;0;0
160;0.000123108;0.00022968;0;0.00022322;0.000114155;0;0;0.3822;0.5789;0;0;0.45041076;0;0;0
161;0.000124203;0.00023621;0;0.00022322;0.000114155;0;0;0.4267;0.6472;0;0;0.131555803;0;0;0
162;0.000127138;0.00024239;0;0.000164478;0.000114155;0;0;0.4633;0.7029;0;0;0.003613601;0;0;0
163;0.000124827;0.0002492;0;0.000117484;0.000114155;0;0;0.5046;0.7658;0;0;0.022441103;0;0;0
164;0.000123028;0.00025623;0;8.81E-05;0.000114155;0;0;0.5326;0.8044;0;0;0.237941311;0;0;0
165;0.000120392;0.00026196;0;5.87E-05;0.000114155;0;0;0.563;0.8265;0;0;0.319970425;0;0;0
166;0.000117571;0.00026436;0;3.76E-05;0.000114155;0;0;0.5971;0.8446;0;0;0.196798369;0;0;0
167;0.000114214;0.0002637;0;2.35E-05;0.000114155;0;0;0.6183;0.8532;0;0;0.062471478;0;0;0
168;0.000111344;0.0002603;0;9.40E-06;0.000114155;0;0;0.6265;0.8608;0;0;0.003121564;0;0;0
169;0.000109505;0.00025545;0;5.87E-06;0.000114155;0;0;0.6306;0.8597;0;0;0.114128481;0;0;0
