{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
139;0.000125096;0.000143896;0;0.000117;0.000114155;0;0;0.869058153;0.704254423;0.213321952;0.355900319;0;0;0;0;0
140;0.000121296;0.000144396;0;0.0000881;0.000114155;0;0;0.853674444;0.706269306;0.214430118;0.355881232;0;0;0;0;0
141;0.000114196;0.000150596;0;0.0000587;0.000114155;0;0;0.847571725;0.69382547;0.215546554;0.355881232;0;0;0;0;0
142;0.000107497;0.000188695;0;0.0000376;0.000114155;0;0;0.855660863;0.677183375;0.21664645;0.355881232;0;0;0;0;0
143;0.000102297;0.000226794;0;0.0000235;0.000114155;0;0;0.839019089;0.609393429;0.217762886;0.355881232;0;0;0;0;0
144;9.11871E-05;0.000283793;0;0.0000094;0.000114155;0;0;0.833777151;0.391775484;0.218871052;0.3558526;0;0;0;0;0
145;8.73472E-05;0.000293392;0;0.00000587;0.000114155;0;0;0.824021628;0.296577506;0.063432579;0.3558526;0;0;0;0;0
146;8.38873E-05;0.000301292;0;0.00000235;0.000114155;0;0;0.786820421;0.280117944;0.064544053;0.3558526;0;0;0;0;0
147;8.64572E-05;0.000253593;0;0.00000117;0.000114155;0;0;0.723817844;0.245457737;0.065655527;0.3558526;0;0;0;0;0
148;8.61072E-05;0.000253993;0;0.0000141;0.000114155;0;0;0.658828847;0.126698961;0.066766174;0.355823969;0;0;0;0;0
149;8.41473E-05;0.000281193;0;0.0000376;0.000114155;0;0;0.583951901;0.087693064;0.067877648;0.355823969;0;0;0;0;0
150;9.2927E-05;0.000290492;0;0.000094;0.000114155;0;0;0.518024873;0.131437798;0.068989121;0.355823969;0;0;0;0;0
151;0.000111796;0.000254093;0;0.0001821;0.000114155;0;0;0.444604633;0.216224375;0.070099768;0.355823969;0;0;0;0;0
152;0.000132796;0.000205295;0;0.000158603;0.000114155;0;0;0.434992574;0.323072873;0.071211242;0.355804881;0;0;0;0;0
153;0.000142795;0.000196295;0;0.000146855;0.000114155;0.00877421;0.00877421;0.447529083;0.417965459;0.072321889;0.355804881;0;0;0;0;0
154;0.000145295;0.000186195;0;0.000164478;0.000114155;0.052645257;0.052645257;0.319195403;0.521430076;0.073433363;0.355804881;0;0;0;0;0
155;0.000148595;0.000167396;0;0.000187974;0.000114155;0.061419467;0.061419467;0.179064604;0.570313816;0.074544837;0.355804881;0;0;0;0;0
156;0.000151095;0.000154996;0;0.000206772;0.000114155;0.052645257;0.052645257;0.157247106;0.579261443;0.075656311;0.355776249;0;0.021270102;0.021270102;0;0
157;0.000142795;0.000181495;0;0.000187974;0.000114155;0.070193676;0.070193676;0.2370901;0.666757933;0.076767785;0.355776249;0;0.02918679;0.02918679;0;0
158;0.000145095;0.000151596;0;0.000190324;0.000114155;0.052645257;0.052645257;0.278606249;0.774536647;0.077877605;0.355776249;0;0;0;0;0
159;0.000142295;0.000164596;0;0.000213821;0.000114155;0.035096838;0.035096838;0.381668269;0.813563606;0.078989079;0.355776249;0;0;0;0;0
160;0.000141295;0.000164596;0;0.00022322;0.000114155;0.017548419;0.017548419;0.539643729;0.881156978;0.080100553;0.355757161;0;0;0;0;0
161;0.000142895;0.000170296;0;0.00022322;0.000114155;0;0;0.586997742;0.900926706;0.081212027;0.355757161;0;0;0;0;0
162;0.000148895;0.000164096;0;0.000164478;0.000114155;0;0;0.641911182;0.906757231;0.082323501;0.355757161;0;0;0;0;0
163;0.000149895;0.000145396;0;0.000117;0.000114155;0;0;0.67712597;0.918600814;0.083434975;0.355757161;0;0;0;0;0
164;0.000142395;0.000146296;0;0.0000881;0.000114155;0;0;0.710685409;0.920320837;0.084543141;0.35572853;0;0;0;0;0
165;0.000132596;0.000149096;0;0.0000587;0.000114155;0;0;0.709096275;0.92542474;0.085659577;0.35572853;0;0;0;0;0
166;0.000123096;0.000188695;0;0.0000376;0.000114155;0;0;0.713940929;0.924192643;0.086767743;0.35572853;0;0;0;0;0
167;0.000116296;0.000230794;0;0.0000235;0.000114155;0;0;0.723619202;0.925814378;0.087875909;0.35572853;0;0;0;0;0
168;0.000103397;0.000291992;0;0.0000094;0.000114155;0;0;0.773687987;0.926874473;0.088992345;0.355699898;0;0;0;0;0
169;0.000105597;0.000226694;0;0.00000587;0.000114155;0;0;0.797502939;0.930658523;0.09010051;0.355699898;0;0;0;0;0
170;0.000100497;0.000268893;0;0.00000235;0.000114155;0;0;0.798694791;0.925730132;0.091208676;0.355699898;0;0;0;0;0
171;9.88368E-05;0.000260393;0;0.00000117;0.000114155;0;0;0.824154056;0.92429093;0.092325112;0.355699898;0;0;0;0;0
172;9.84268E-05;0.000235194;0;0.0000141;0.000114155;0;0;0.804731296;0.924915754;0.093433278;0.355680811;0;0;0;0;0
173;9.94468E-05;0.000199395;0;0.0000376;0.000114155;0;0;0.766393417;0.914672845;0.094541444;0.355680811;0;0;0;0;0
174;0.000102397;0.000252093;0;0.000094;0.000114155;0;0;0.738605627;0.922883319;0.09565788;0.355680811;0;0;0;0;0
175;0.000120296;0.000201595;0;0.0001821;0.000114155;0;0;0.732966405;0.924269868;0.096766046;0.355680811;0;0;0;0;0
176;0.000135796;0.000212494;0;0.000158603;0.000114155;0;0;0.727735503;0.910959;0.097882482;0.355652179;0;0;0;0;0
177;0.000145795;0.000205095;0;0.000146855;0.000114155;0.00877421;0.00877421;0.715198994;0.884463634;0.098990648;0.355652179;0;0;0;0;0
178;0.000144695;0.000208195;0;0.000164478;0.000114155;0.052645257;0.052645257;0.660616624;0.884161752;0.100098814;0.355652179;0;0;0;0;0
179;0.000146395;0.000198595;0;0.000187974;0.000114155;0.078967886;0.078967886;0.612534258;0.879654591;0.10121525;0.355652179;0;0.049678218;0.049678218;0;0
180;0.000148795;0.000174195;0;0.000206772;0.000114155;0.087742096;0.087742096;0.631570769;0.444769728;0.102323416;0.355633091;0;0.114861949;0.114861949;0;0
181;0.000140895;0.000180895;0;0.000187974;0.000114155;0.087742096;0.087742096;0.630765166;0.120889497;0.103431582;0.355633091;0;0.142460403;0.142460403;0;0
182;0.000141495;0.000157496;0;0.000190324;0.000114155;0.078967886;0.078967886;0.631173486;0.49171581;0.104548018;0.355633091;0;0.113562492;0.113562492;0;0
183;0.000138196;0.000162396;0;0.000213821;0.000114155;0.026322629;0.026322629;0.646490981;0.464069082;0.105656184;0.355633091;0;0.068623292;0.068623292;0;0
184;0.000134096;0.000189495;0;0.00022322;0.000114155;0.00877421;0.00877421;0.623801665;0.258245577;0.10677262;0.35560446;0;0;0;0;0
185;0.000132896;0.000229794;0;0.00022322;0.000114155;0;0;0.626196404;0.512559674;0.107880786;0.35560446;0;0;0;0;0
186;0.000144595;0.000190395;0;0.000164478;0.000114155;0;0;0.665317815;0.484712862;0.108988952;0.35560446;0;0;0;0;0
187;0.000147095;0.000182495;0;0.000117;0.000114155;0;0;0.705178616;0.753148694;0.110105387;0.35560446;0;0;0;0;0
188;0.000141795;0.000171695;0;0.0000881;0.000114155;0;0;0.74065826;0.884495226;0.111213553;0.355575828;0;0;0;0;0
189;0.000131396;0.000183195;0;0.0000587;0.000114155;0;0;0.705906969;0.881897641;0.112321719;0.355575828;0;0;0;0;0
190;0.000117496;0.000277393;0;0.0000376;0.000114155;0;0;0.68289762;0.872451559;0.113438155;0.355575828;0;0;0;0;0
