2020;;;;;;2015;;;;;;;;;;
Technologies param;fmin_perc;fmax_perc;f_min;f_max;;Name (in model and documents);[];[];[GW];[GW];;;fmin_perc;fmax_perc;f_min;
DHN_BOILER_WOOD;0;0;0;1.00E+15;;DHN_BOILER_WOOD;0;0;0;0.00E+00;;;0;0;0;1E+15
DHN_COGEN_BIO_HYDROLYSIS;0;0;0;1.00E+15;;DHN_COGEN_BIO_HYDROLYSIS;0;0;0;0.00E+00;;;0;0;0;1E+15
DHN_COGEN_GAS;0.594;1;0;1.00E+15;;DHN_COGEN_GAS;0.59413;0.59413;0.346;3.48E-01;;;-0.00013;0.40587;-0.346;1E+15
DHN_COGEN_WASTE;0.141;1;0;1.00E+15;;DHN_COGEN_WASTE;0.12408;0.1408;0.062;6.40E-02;;;0.01692;0.8592;-0.062;1E+15
DHN_COGEN_WET_BIOMASS;0;0;0;1.00E+15;;DHN_COGEN_WET_BIOMASS;0;0;0;0.00E+00;;;0;0;0;1E+15
DHN_COGEN_WOOD;0.066;1;0;1.00E+15;;DHN_COGEN_WOOD;0.06603;0.06603;0.057;5.90E-02;;;-3E-05;0.93397;-0.057;1E+15
DHN_DEEP_GEO;0;0;0;0;;DHN_DEEP_GEO;0.01;0.01;0.003;0.005;;;-0.01;-0.01;-0.003;-0.005
DHN_HP_ELEC;0.044;1;0;1.00E+15;;DHN_HP_ELEC;0.0436;0.0437;0.042;4.40E-02;;;0.0004;0.9563;-0.042;1E+15
DHN_SOLAR;0;1;0;1.00E+15;;DHN_SOLAR;0;0;0;0.00E+00;;;0;1;0;1E+15
DIESEL_STORAGE;0;1;0;1.00E+15;;DIESEL_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
EFFICIENCY;0;1;0;1.00E+15;;EFFICIENCY;0;1;0;1.00E+02;;;0;0;0;1E+15
GAS_STORAGE;0;1;0;1.00E+15;;GAS_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
GAS_TO_HVC;0;1;0;1.00E+15;;GAS_TO_HVC;0;1;0;0.00E+00;;;0;0;0;1E+15
GASIFICATION_SNG;0;1;0;1.00E+15;;GASIFICATION_SNG;0;1;0;0.00E+00;;;0;0;0;1E+15
GASOLINE_STORAGE;0;1;0;1.00E+15;;GASOLINE_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
GEOTHERMAL;0;1;0;1.00E+15;;GEOTHERMAL;0;1;0;0;;;0;0;0;1E+15
GRID;0;1;0;1.00E+15;;GRID;0;1;0;1.00E+02;;;0;0;0;1E+15
H2_BIOMASS;0;1;0;1.00E+15;;H2_BIOMASS;0;1;0;0.00E+00;;;0;0;0;1E+15
H2_ELECTROLYSIS;0;1;0;1.00E+15;;H2_ELECTROLYSIS;0;1;0;0.00E+00;;;0;0;0;1E+15
H2_STORAGE;0;1;0;1.00E+15;;H2_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
HABER_BOSCH;0;1;0;1.00E+15;;HABER_BOSCH;0;1;1.13;1.13E+00;;;0;0;-1.13;1E+15
HYDRO_RIVER;0;1;0;0.115;;HYDRO_RIVER;0;1;0.114;0.116;;;0;0;-0.114;-0.001
IND_BOILER_COAL;0.3;1;0;1.00E+15;;IND_BOILER_COAL;0.3;0.3;2.714;2.72E+00;;;0;0.7;-2.714;1E+15
IND_BOILER_GAS;0.358;1;0;1.00E+15;;IND_BOILER_GAS;0;1;3.068;3.07E+00;;;0.358;0;-3.068;1E+15
IND_BOILER_OIL;0.2;1;0;1.00E+15;;IND_BOILER_OIL;0.2;0.2;1.713;1.72E+00;;;0;0.8;-1.713;1E+15
IND_BOILER_WASTE;0;0;0;1.00E+15;;IND_BOILER_WASTE;0;0;0;0.00E+00;;;0;0;0;1E+15
